ID,age,draft_g,mp,draft_fg,fga,3p,3pa,draft_ft,fta,orb,draft_trb,draft_ast,draft_stl,draft_blk,draft_tov,draft_pf,draft_pts,fg_per,3p_per,ft_per,mp_per,pts_per,trb_per,ast_per,season,weight,height,position,shoots,born,draft_year,pk,amature_honor,college,career_g,career_per,career_ws,career_ws48,career_ws_per_game,career_per_greater_than_15,ws_pergame_greater_than_0,ws48_greater_than_0
1985001,0.8148148148148148,0.8888888888888888,0.7336357744653272,0.5405405405405406,0.41025641025641024,0,0,0.3591549295774648,0.4456824512534819,0,0.5563025210084034,0.147239263803681,0.28378378378378377,0.6164383561643836,0.525974025974026,0.8320610687022901,0.4489112227805695,0.8954154727793697,0,0.6550308008213552,0.7688442211055277,0.38873239436619716,0.47878787878787876,0.13541666666666669,1984-85,0.5,0.7464788732394366,"Center and Power Forward",Right,1962-08-05,1985,1,1,"Georgetown University",1183,21,126.4,0.15,0.106847,yes,yes,yes
1985002,0.7407407407407407,0.8888888888888888,0.83149708360337,0.9090909090909091,0.745920745920746,0,0,0.676056338028169,0.7604456824512534,0,0.6184873949579832,0.1441717791411043,0.21621621621621623,0.2374429223744292,0.474025974025974,0.8549618320610687,0.7755443886097152,0.828080229226361,0,0.7217659137577002,0.8718592964824122,0.6873239436619718,0.5393939393939393,0.13541666666666669,1984-85,0.5,0.647887323943662,"Power Forward",Left,1964-06-09,1985,2,1,"University of Oklahoma",840,15.7,45.7,0.092,0.0544048,yes,yes,yes
1985003,0.7407407407407407,0.75,0.7731691510045366,0.6339066339066339,0.5163170163170163,0,0,0.6056338028169014,0.649025069637883,0,0.7411764705882353,0.2085889570552147,0.18243243243243243,0.7397260273972602,0.5714285714285714,0.7633587786259542,0.5711892797319933,0.833810888252149,0,0.757700205338809,0.9371859296482412,0.5830985915492958,0.7757575757575756,0.21875000000000003,1984-85,0.5520833333333334,0.7464788732394366,Center,Right,1964-11-22,1985,3,1,"Creighton University",807,14.8,32.7,0.072,0.0405204,no,yes,yes
1985004,0.7777777777777778,0.7222222222222222,0.7407647440051847,0.8624078624078624,0.7319347319347319,0,0,0.5,0.6239554317548747,0,0.7563025210084033,0.2116564417177914,0.3108108108108108,0.1415525114155251,0.6428571428571429,0.7709923664122137,0.7018425460636516,0.8008595988538684,0,0.6509240246406571,0.9271356783919599,0.7436619718309859,0.8181818181818182,0.22916666666666669,1984-85,0.3333333333333333,0.5774647887323944,"Power Forward and Small Forward",Right,1963-06-04,1985,4,1,"Wichita State University",870,16.1,47.8,0.091,0.0549425,yes,yes,yes
1985005,0.7777777777777778,0.7777777777777778,0.7025275437459495,0.538083538083538,0.43123543123543123,0,0,0.4507042253521127,0.5348189415041783,0,0.5781512605042017,0.12883435582822086,0.08783783783783784,0.4155251141552511,0.525974025974026,0.8778625954198473,0.46901172529313234,0.8481375358166189,0,0.6848049281314169,0.8241206030150754,0.46197183098591543,0.5696969696969696,0.13541666666666669,1984-85,0.5520833333333334,0.7464788732394366,Center,Right,1963-05-17,1985,5,1,"Southern Methodist University",784,9.8,29.2,0.085,0.0372449,no,yes,yes
1985006,0.8518518518518519,0.8333333333333334,0.8353856124432922,0.7223587223587223,0.5641025641025641,0,0,0.6514084507042254,0.7158774373259053,0,0.4773109243697479,0.0705521472392638,0.25675675675675674,0.0730593607305936,0.564935064935065,0.7557251908396947,0.6423785594639866,0.8696275071633238,0,0.7392197125256673,0.9246231155778895,0.6,0.43030303030303035,0.07291666666666667,1984-85,0.5729166666666666,0.7183098591549296,Center,Right,1962-01-04,1985,6,1,"University of Arkansas",965,10.5,19.1,0.062,0.0197927,no,yes,yes
1985007,0.7777777777777778,0.8333333333333334,0.8600129617627997,0.6167076167076168,0.5617715617715617,0,0,0.676056338028169,0.649025069637883,0,0.2672268907563025,0.46319018404907975,0.49324324324324326,0.0776255707762557,0.5844155844155844,0.5190839694656488,0.576214405360134,0.7464183381088826,0,0.8459958932238193,0.9522613065326634,0.5352112676056338,0.21212121212121213,0.4479166666666667,1984-85,0.3125,0.5352112676056338,"Shooting Guard and Small Forward",Left,1963-07-30,1985,7,1,"St. John's University",986,18.8,93.1,0.139,0.0944219,yes,yes,yes
1985008,0.8148148148148148,0.75,0.7647440051847051,0.4692874692874693,0.3986013986013986,0,0,0.44014084507042256,0.48746518105849584,0,0.4117647058823529,0.4110429447852761,0.11486486486486487,0.091324200913242,0.7532467532467533,0.6870229007633588,0.41959798994974873,0.7994269340974214,0,0.73305954825462,0.9271356783919599,0.4225352112676056,0.40606060606060607,0.43750000000000006,1984-85,0.3854166666666667,0.647887323943662,"Small Forward and Power Forward",Right,1963-01-21,1985,8,0,"University of Washington",1136,17.2,109.5,0.156,0.0963908,yes,yes,yes
1985009,0.7777777777777778,0.7222222222222222,0,0.6953316953316954,0.527972027972028,0,0,0.6267605633802817,0.7409470752089137,0,0.8823529411764706,0.20245398773006135,0,0.1461187214611872,0,0,0.6180904522613065,0.8954154727793697,0,0.686858316221766,0,0.6535211267605634,0.9696969696969697,0.21875000000000003,1984-85,0.4375,0.6056338028169014,"Power Forward and Center",Right,1963-12-18,1985,9,0,"Virginia Union University",1282,13.4,89.7,0.107,0.0699688,no,yes,yes
1985010,0.7777777777777778,0.8333333333333334,0.7686325340246274,0.4348894348894349,0.34382284382284384,0,0,0.676056338028169,0.7325905292479109,0,0.5058823529411764,0.21779141104294478,0.36486486486486486,0.2922374429223744,0.5584415584415584,0.8625954198473282,0.45226130653266333,0.8595988538681949,0,0.7494866529774127,0.8517587939698493,0.41690140845070417,0.46060606060606063,0.20833333333333334,1984-85,0.2916666666666667,0.647887323943662,"Small Forward and Power Forward",Right,1963-03-27,1985,10,1,"Villanova University",793,14.8,42.7,0.13,0.0538462,no,yes,yes
