PlayerId,PlayerName,Season,GameType,Team,Position,GP,G,A,P,PlusMinus,PIM,PointPerGame,PPG,PPP,SHG,SHP,GWG,OTG,S,ShootingPercentage,TOIPerGame,TOIPerGame_sec,ShiftsPerGame,FaceoffWinPercentage
8462073,"Christian Laflamme",1998-1999,Playoffs,EDM,D,4,0,1,1,-4,2,0.25,0,0,0,0,0,0,5,0,00:21:51,1311,32.3,0
8456966,"Robert Lang",1998-1999,Playoffs,PIT,C,12,0,2,2,-3,0,0.17,0,0,0,0,0,0,9,0,00:13:57,837,17.2,46.6
8459457,"Jamie Langenbrunner",1998-1999,Playoffs,DAL,R,23,10,7,17,7,16,0.74,4,5,0,0,3,0,46,21.7,00:17:42,1062,25.1,50
8462036,"Daymond Langkow",1998-1999,Playoffs,PHI,C,6,0,2,2,3,2,0.33,0,0,0,0,0,0,4,0,00:16:49,1009,19.7,46.7
8458524,"Martin Lapointe",1998-1999,Playoffs,DET,R,10,0,2,2,0,20,0.2,0,0,0,0,0,0,14,0,00:11:42,702,16.5,54.5
8462060,"Georges Laraque",1998-1999,Playoffs,EDM,R,4,0,0,0,-2,2,0,0,0,0,0,0,0,1,0,00:07:34,454,9.8,0
8448669,"Igor Larionov",1998-1999,Playoffs,DET,C,7,0,2,2,-1,0,0.29,0,0,0,0,0,0,3,0,00:13:50,830,16.9,41.9
8458805,"Janne Laukkanen",1998-1999,Playoffs,OTT,D,4,0,0,0,1,4,0,0,0,0,0,0,0,8,0,00:17:27,1047,24.3,0
8448764,"Stephen Leach",1998-1999,Playoffs,PHX,R,7,1,1,2,0,2,0.29,0,0,0,0,0,0,4,25,00:11:38,698,16.6,0
8448622,"John Leclair",1998-1999,Playoffs,PHI,L,6,3,0,3,0,12,0.5,2,2,0,0,0,0,15,20,00:20:13,1213,21.7,0
8462084,"Mike Leclerc",1998-1999,Playoffs,ANA,L,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,00:15:02,902,17,0
8448740,"Grant Ledyard",1998-1999,Playoffs,BOS,D,2,0,0,0,-1,2,0,0,0,0,0,0,0,4,0,00:11:38,698,18,0
8448770,"Sylvain Lefebvre",1998-1999,Playoffs,COL,D,19,0,1,1,6,12,0.05,0,0,0,0,0,0,16,0,00:22:44,1364,29.9,0
8459024,"Jere Lehtinen",1998-1999,Playoffs,DAL,R,23,10,3,13,8,2,0.57,1,2,1,1,0,0,55,18.2,00:21:08,1268,32.3,50
8448772,"Claude Lemieux",1998-1999,Playoffs,COL,R,19,3,11,14,5,26,0.74,1,6,0,1,0,0,69,4.3,00:19:27,1167,26.7,28.6
8448797,"Curtis Leschyshyn",1998-1999,Playoffs,CAR,D,6,0,0,0,-3,6,0,0,0,0,0,0,0,4,0,00:24:06,1446,32,0
8448839,"Doug Lidster",1998-1999,Playoffs,DAL,D,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,00:08:00,480,13.3,0
8457063,"Nicklas Lidstrom",1998-1999,Playoffs,DET,D,10,2,9,11,0,4,1.1,2,10,0,0,0,0,29,6.9,00:30:21,1821,31.8,0
8448834,"Dave Lowry",1998-1999,Playoffs,SJS,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:08:37,517,14,0
8448845,"Craig Ludwig",1998-1999,Playoffs,DAL,D,23,1,4,5,2,20,0.22,0,0,0,0,0,0,6,16.7,00:16:30,990,27.5,0
8460580,"Brad Lukowich",1998-1999,Playoffs,DAL,D,8,0,1,1,3,4,0.13,0,0,0,0,0,0,6,0,00:09:59,599,16.6,0
8448824,"Jyrki Lumme",1998-1999,Playoffs,PHX,D,7,0,1,1,-2,6,0.14,0,1,0,0,0,0,8,0,00:26:57,1617,32.3,0
8465041,"Craig MacDonald",1998-1999,Playoffs,CAR,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:02:46,166,4,0
8448960,"Al MacInnis",1998-1999,Playoffs,STL,D,13,4,8,12,-2,20,0.92,2,8,0,0,0,0,66,6.1,00:35:13,2113,34.7,0
8449009,"Jamie Macoun",1998-1999,Playoffs,DET,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,00:05:25,325,9,0
8466216,"Adam Mair",1998-1999,Playoffs,TOR,C,5,1,0,1,-1,14,0.2,0,0,0,0,0,0,3,33.3,00:05:36,336,8.4,50
8459493,"Marek Malik",1998-1999,Playoffs,CAR,D,4,0,0,0,-2,4,0,0,0,0,0,0,0,0,0,00:11:26,686,13,0
8459001,"Kirk Maltby",1998-1999,Playoffs,DET,L,10,1,0,1,-2,8,0.1,0,0,0,0,1,1,13,7.7,00:11:32,692,18.2,50
8457203,"Kent Manderville",1998-1999,Playoffs,CAR,C,6,0,0,0,0,2,0,0,0,0,0,0,0,6,0,00:09:57,597,14,46.6
8462126,"Cameron Mann",1998-1999,Playoffs,BOS,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:01:48,108,2,0
8459587,"Todd Marchant",1998-1999,Playoffs,EDM,C,4,1,1,2,2,12,0.5,0,0,0,0,0,0,10,10,00:24:21,1461,33.3,38.6
8449137,"Bryan Marchment",1998-1999,Playoffs,SJS,D,6,0,0,0,0,4,0,0,0,0,0,0,0,7,0,00:16:40,1000,22.8,0
8462258,"Danny Markov",1998-1999,Playoffs,TOR,D,17,0,6,6,9,18,0.35,0,0,0,0,0,0,11,0,00:22:23,1343,24.6,0
8466139,"Patrick Marleau",1998-1999,Playoffs,SJS,L,6,2,1,3,-1,4,0.5,2,2,0,0,0,0,7,28.6,00:11:08,668,16.3,23
8457222,"Jason Marshall",1998-1999,Playoffs,ANA,D,4,1,0,1,-1,10,0.25,1,1,0,0,0,0,5,20,00:21:29,1289,28.3,0
8458959,"Grant Marshall",1998-1999,Playoffs,DAL,R,14,0,3,3,1,20,0.21,0,0,0,0,0,0,23,0,00:11:41,701,17.6,100
8449295,"Stephane Matteau",1998-1999,Playoffs,SJS,L,5,0,0,0,-3,6,0,0,0,0,0,0,0,4,0,00:13:57,837,20.8,100
8458522,"Richard Matvichuk",1998-1999,Playoffs,DAL,D,22,1,5,6,4,20,0.27,0,0,0,0,0,0,26,3.8,00:22:40,1360,30.2,0
8459514,"Jamal Mayers",1998-1999,Playoffs,STL,R,11,0,1,1,-2,8,0.09,0,0,0,0,0,0,9,0,00:08:34,514,15,100
8462068,"Chris McAllister",1998-1999,Playoffs,TOR,L,6,0,1,1,-1,4,0.17,0,0,0,0,0,0,2,0,00:12:59,779,18.3,0
8457264,"Chris McAlpine",1998-1999,Playoffs,STL,D,13,0,0,0,0,2,0,0,0,0,0,0,0,7,0,00:06:34,394,10.6,0
8458566,"Sandy McCarthy",1998-1999,Playoffs,PHI,R,6,0,1,1,1,0,0.17,0,0,0,0,0,0,7,0,00:06:33,393,9.2,0
8458982,"Darren McCarty",1998-1999,Playoffs,DET,R,10,1,1,2,-1,23,0.2,0,0,0,0,0,0,15,6.7,00:13:04,784,19.9,28.6
8457297,"Shawn McEachern",1998-1999,Playoffs,OTT,L,4,2,0,2,1,6,0.5,1,1,0,0,0,0,11,18.2,00:21:50,1310,28.8,43.5
8459174,"Dan McGillis",1998-1999,Playoffs,PHI,D,6,0,1,1,2,12,0.17,0,0,0,0,0,0,15,0,00:19:36,1176,27,0
8457319,"Marty McInnis",1998-1999,Playoffs,ANA,L,4,2,0,2,-1,2,0.5,2,2,0,0,0,0,12,16.7,00:21:06,1266,25.3,28.6
8449450,"Randy McKay",1998-1999,Playoffs,NJD,R,7,3,2,5,1,2,0.71,0,2,0,0,1,0,16,18.8,00:17:06,1026,19.7,0
8462045,"Jay McKee",1998-1999,Playoffs,BUF,D,21,0,3,3,13,24,0.14,0,0,0,1,0,0,13,0,00:22:30,1350,27.9,0
8449477,"Jim McKenzie",1998-1999,Playoffs,ANA,L,4,0,0,0,-2,4,0,0,0,0,0,0,0,5,0,00:06:58,418,11.3,0
8462040,"Kyle McLaren",1998-1999,Playoffs,BOS,D,12,0,3,3,4,10,0.25,0,0,0,0,0,0,21,0,00:26:44,1604,29.9,0
8449516,"Marty McSorley",1998-1999,Playoffs,EDM,D,3,0,0,0,1,2,0,0,0,0,0,0,0,3,0,00:22:17,1337,30.7,0
8460012,"Eric Messier",1998-1999,Playoffs,COL,L,3,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,00:04:40,280,8.3,0
8457384,"Aaron Miller",1998-1999,Playoffs,COL,D,19,1,5,6,8,10,0.32,0,2,0,0,0,0,22,4.5,00:21:12,1272,30.2,0
8449633,"Kip Miller",1998-1999,Playoffs,PIT,C,13,2,7,9,-1,19,0.69,1,2,0,0,0,0,18,11.1,00:18:56,1136,24.5,30.8
8449645,"Mike Modano",1998-1999,Playoffs,DAL,C,23,5,18,23,6,16,1,1,7,1,2,1,1,83,6,00:24:39,1479,34.1,56.6
8460556,"Freddy Modin",1998-1999,Playoffs,TOR,L,8,0,0,0,-2,6,0,0,0,0,0,0,0,11,0,00:09:50,590,11.9,0
8457421,"Ian Moran",1998-1999,Playoffs,PIT,D,13,0,2,2,-3,8,0.15,0,0,0,0,0,0,12,0,00:21:09,1269,27,0
8460504,"Ethan Moreau",1998-1999,Playoffs,EDM,L,4,0,3,3,3,6,0.75,0,0,0,0,0,0,6,0,00:17:25,1045,25.5,0
8462054,"Aleksey Morozov",1998-1999,Playoffs,PIT,R,10,1,1,2,1,0,0.2,0,0,0,0,0,0,13,7.7,00:12:01,721,16.7,0
8459461,"Brendan Morrison",1998-1999,Playoffs,NJD,C,7,0,2,2,-1,0,0.29,0,1,0,0,0,0,10,0,00:13:03,783,15.9,61.5
8449751,"Joe Murphy",1998-1999,Playoffs,SJS,R,6,0,3,3,0,4,0.5,0,2,0,0,0,0,21,0,00:19:08,1148,22.2,20
8449745,"Larry Murphy",1998-1999,Playoffs,DET,D,10,0,2,2,2,8,0.2,0,1,0,0,0,0,14,0,00:22:14,1334,28.7,0
8459071,"Rem Murray",1998-1999,Playoffs,EDM,L,4,1,1,2,-1,2,0.5,0,0,0,0,0,0,6,16.7,00:22:40,1360,30.8,44.4
8446955,"Frantisek Musil",1998-1999,Playoffs,EDM,D,1,0,0,0,-1,2,0,0,0,0,0,0,0,2,0,00:30:35,1835,47,0
8460733,"Tyson Nash",1998-1999,Playoffs,STL,L,1,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,00:06:25,385,10,0
8460520,"Stan Neckar",1998-1999,Playoffs,PHX,D,6,0,1,1,3,4,0.17,0,0,0,0,0,0,0,0,00:10:19,619,16.5,0
8457491,"Sergei Nemchinov",1998-1999,Playoffs,NJD,L,4,0,0,0,-2,0,0,0,0,0,0,0,0,2,0,00:10:38,638,12.8,33.3
8460588,"Eric Nickulas",1998-1999,Playoffs,BOS,R,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,00:04:35,275,9,0
8458517,"Scott Niedermayer",1998-1999,Playoffs,NJD,D,7,1,3,4,-5,18,0.57,1,1,0,0,0,0,13,7.7,00:25:29,1529,25.3,0
8457511,"Jeff Nielsen",1998-1999,Playoffs,ANA,R,4,0,0,0,-6,2,0,0,0,0,0,0,0,7,0,00:10:14,614,15.5,0
8449893,"Joe Nieuwendyk",1998-1999,Playoffs,DAL,C,23,11,10,21,7,19,0.91,3,5,0,0,6,2,72,15.3,00:18:26,1106,26.4,59.8
8459458,"Janne Niinimaa",1998-1999,Playoffs,EDM,D,4,0,0,0,-2,2,0,0,0,0,0,0,0,5,0,00:28:16,1696,36.3,0
8449895,"Owen Nolan",1998-1999,Playoffs,SJS,R,6,1,1,2,0,6,0.33,0,0,0,0,0,0,26,3.8,00:20:15,1215,26.5,59.6
8449894,"Brian Noonan",1998-1999,Playoffs,PHX,R,5,0,2,2,2,4,0.4,0,0,0,0,0,0,10,0,00:10:44,644,14.2,0
8449902,"Jeff Norton",1998-1999,Playoffs,SJS,D,6,0,7,7,5,10,1.17,0,5,0,1,0,0,3,0,00:26:00,1560,27.8,0
8449924,"Teppo Numminen",1998-1999,Playoffs,PHX,D,7,2,1,3,-5,4,0.43,2,3,0,0,0,0,18,11.1,00:26:09,1569,31.1,0
8460495,"Jeff O'Neill",1998-1999,Playoffs,CAR,C,6,0,1,1,-5,0,0.17,0,0,0,0,0,0,11,0,00:19:24,1164,25.5,52
8449957,"Lyle Odelein",1998-1999,Playoffs,NJD,D,7,0,3,3,-1,10,0.43,0,1,0,0,0,0,12,0,00:18:27,1107,21.7,0
8457566,"Jeff Odgers",1998-1999,Playoffs,COL,R,15,1,0,1,0,14,0.07,0,0,0,0,1,0,3,33.3,00:04:19,259,7.7,100
8449971,"Fredrik Olausson",1998-1999,Playoffs,ANA,D,4,0,2,2,-4,4,0.5,0,2,0,0,0,0,6,0,00:21:32,1292,25.3,0
8459486,"Krzysztof Oliwa",1998-1999,Playoffs,NJD,L,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,00:02:35,155,6,0
8458544,"Sandis Ozolinsh",1998-1999,Playoffs,COL,D,19,4,8,12,-5,22,0.63,3,6,0,0,1,0,56,7.1,00:22:24,1344,25.1,0
8459454,"Jay Pandolfo",1998-1999,Playoffs,NJD,L,7,1,0,1,-5,0,0.14,0,0,0,0,0,0,10,10,00:13:19,799,17.7,0
8465016,"Scott Parker",1998-1999,Playoffs,COL,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,0,0
8450223,"James Patrick",1998-1999,Playoffs,BUF,D,20,0,1,1,6,12,0.05,0,0,0,0,0,0,11,0,00:13:57,837,21,0
8458976,"Michael Peca",1998-1999,Playoffs,BUF,C,21,5,8,13,1,18,0.62,2,4,1,2,0,0,37,13.5,00:22:27,1347,29.3,44.4
8459435,"Denis Pederson",1998-1999,Playoffs,NJD,C,3,0,1,1,0,0,0.33,0,0,0,0,0,0,3,0,00:09:36,576,13,0
8457646,"Scott Pellerin",1998-1999,Playoffs,STL,L,8,1,0,1,-2,4,0.13,0,0,0,0,0,0,11,9.1,00:13:50,830,21.4,0
8458561,"Yanic Perreault",1998-1999,Playoffs,TOR,C,17,3,6,9,-6,6,0.53,0,1,0,0,2,1,15,20,00:15:54,954,19.5,60.8
8457661,"Ricard Persson",1998-1999,Playoffs,STL,D,13,0,3,3,-1,17,0.23,0,0,0,0,0,0,12,0,00:22:12,1332,28.5,0
8464956,"Chris Phillips",1998-1999,Playoffs,OTT,D,3,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,00:13:50,830,17.3,0
8450357,"Michel Picard",1998-1999,Playoffs,STL,L,5,0,0,0,-3,2,0,0,0,0,0,0,0,7,0,00:13:54,834,19.2,0
8457681,"Lance Pitlick",1998-1999,Playoffs,OTT,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,00:17:29,1049,23.5,0
8457686,"Derek Plante",1998-1999,Playoffs,DAL,C,6,1,0,1,0,4,0.17,0,0,0,0,0,0,8,12.5,00:12:12,732,18.5,53.6
8457704,"Shjon Podein",1998-1999,Playoffs,COL,L,19,1,1,2,-1,12,0.11,0,0,0,0,0,0,33,3,00:14:54,894,25.7,33.3
8465012,"Tom Poti",1998-1999,Playoffs,EDM,D,4,0,1,1,-3,2,0.25,0,1,0,0,0,0,9,0,00:28:02,1682,34.8,0
8459538,"Nolan Pratt",1998-1999,Playoffs,CAR,D,3,0,0,0,0,2,0,0,0,0,0,0,0,3,0,00:19:58,1198,25,0
8460507,"Wayne Primeau",1998-1999,Playoffs,BUF,C,19,3,4,7,0,6,0.37,1,3,0,0,0,0,22,13.6,00:13:28,808,17.4,46.6
8450550,"Keith Primeau",1998-1999,Playoffs,CAR,C,6,0,3,3,-3,6,0.5,0,2,0,0,0,0,9,0,00:24:35,1475,33,54.5
