id,PlayerName,DraftAge_norm,country_group,Height_norm,Weight_norm,Position,DraftYear,Overall,CSS_rank_norm,rs_GP_norm,rs_G_norm,rs_A_norm,rs_P_norm,rs_PIM_norm,rs_PlusMinus_norm,po_GP_norm,po_G_norm,po_A_norm,po_P_norm,po_PIM_norm,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0
9,"David Bornhammar",0,EURO,0.42857142857142855,0.3557692307692308,D,1999,192,0.9095238095238095,0.6111111111111112,0.1232876712328767,0.058823529411764705,0.0949367088607595,0.0918580375782881,0.552,0,0,0,0,0,0,0,no
27,"Yared Hagos",0,EURO,0.42857142857142855,0.5480769230769231,C,2001,70,0.10952380952380952,0.4777777777777778,0.1506849315068493,0.2549019607843137,0.23417721518987342,0.05010438413361169,0.56,0.3333333333333333,0.19047619047619047,0.038461538461538464,0.10869565217391304,0.03333333333333333,0,0,no
30,"Andreas Jamtin",0,EURO,0.35714285714285715,0.3173076923076923,L,2001,157,0.16666666666666666,0.4111111111111111,0.2465753424657534,0.20588235294117646,0.2468354430379747,0.3235908141962422,0.568,0,0,0,0,0,0,0,no
58,"Per Mars",0.07142857142857142,EURO,0.5714285714285714,0.5288461538461539,C,2001,87,0.8333333333333334,0.32222222222222224,0.0821917808219178,0.058823529411764705,0.0759493670886076,0.12526096033402923,0.536,0.16666666666666666,0.047619047619047616,0.038461538461538464,0.043478260869565216,0.03333333333333333,0,0,no
67,"Daniel Fernholm",0.07142857142857142,EURO,0.6428571428571429,0.6538461538461539,D,2002,101,0.11904761904761904,0.13333333333333333,0.0684931506849315,0.12745098039215685,0.11392405063291139,0.025052192066805846,0.784,0,0,0,0,0,0,0,no
71,"Bjorn Nord",0.7142857142857143,EURO,0.35714285714285715,0.27884615384615385,D,2000,289,1,0.9,0.3150684931506849,0.21568627450980393,0.2848101265822785,0.1544885177453027,0.544,0.43333333333333335,0.19047619047619047,0.07692307692307693,0.13043478260869565,0.06666666666666667,0,0,no
74,"Niklas Eckerblom",0,EURO,0.42857142857142855,0.46153846153846156,R,2002,204,0.42857142857142855,0.35555555555555557,0.2054794520547945,0.058823529411764705,0.13291139240506328,0.0709812108559499,0.536,0,0,0,0,0,0,0,no
85,"Kristofer Ottosson",0.42857142857142855,EURO,0.21428571428571427,0.23076923076923078,C,2000,148,1,0.6111111111111112,0.3698630136986301,0.14705882352941177,0.26582278481012656,0.025052192066805846,0.712,0.43333333333333335,0.3333333333333333,0.07692307692307693,0.1956521739130435,0.016666666666666666,0,0,no
90,"Matthias Trattnig",0.07142857142857142,EURO,0.42857142857142855,0.49038461538461536,D,1998,94,0.2,0.37777777777777777,0.1095890410958904,0.08823529411764706,0.10759493670886076,0.06263048016701461,0.552,0,0,0,0,0,0,0,no
99,"Erik Leverstrom",0.07142857142857142,EURO,0.5,0.46153846153846156,D,1999,168,0.3523809523809524,0.35555555555555557,0.0410958904109589,0.09803921568627451,0.08227848101265822,0.09603340292275574,0.552,0,0,0,0,0,0,0,no
102,"Par Backer",0,EURO,0.42857142857142855,0.17307692307692307,C,2000,187,1,0.5111111111111111,0.1643835616438356,0.09803921568627451,0.13924050632911392,0.05010438413361169,0.44,0,0,0,0,0,0,0,no
118,"Johan Halvardsson",0.14285714285714285,EURO,0.5714285714285714,0.4230769230769231,D,1999,102,0.3476190476190476,0.43333333333333335,0.0136986301369863,0.0196078431372549,0.0189873417721519,0.1524008350730689,0.6,0,0,0,0,0,0,0,no
137,"Rastislav Pavlikovsky",0.21428571428571427,EURO,0.2857142857142857,0.3557692307692308,C,1998,246,0.43333333333333335,0.8666666666666667,0.2602739726027397,0.29411764705882354,0.310126582278481,0.1127348643006263,0.672,0.06666666666666667,0,0,0,0.05,0,0,no
151,"David Ytfeldt",0.07142857142857142,EURO,0.35714285714285715,0.2980769230769231,D,1998,136,0.43333333333333335,0.4888888888888889,0.1780821917808219,0.09803921568627451,0.14556962025316456,0.26931106471816285,0.544,0,0,0,0,0,0,0,no
175,"Jan Sandstrom",0.21428571428571427,EURO,0.35714285714285715,0.33653846153846156,D,1999,173,0.9095238095238095,0.5222222222222223,0.0273972602739726,0.06862745098039216,0.056962025316455694,0.037578288100208766,0.608,0,0,0,0,0,0,0,no
187,"Andreas Lindstrom",0,EURO,0.7857142857142857,0.5288461538461539,L,2000,279,1,0.1,0.0273972602739726,0.0196078431372549,0.02531645569620253,0.029227557411273485,0.552,0,0,0,0,0,0,0,no
201,"David Petrasek",0.2857142857142857,EURO,0.42857142857142855,0.4423076923076923,D,1998,226,0.43333333333333335,0.5222222222222223,0.0821917808219178,0.09803921568627451,0.10126582278481013,0.18789144050104384,0.608,0.16666666666666666,0.09523809523809523,0.07692307692307693,0.08695652173913043,0.11666666666666667,0,0,no
204,"Mika Hannula",0.35714285714285715,EURO,0.2857142857142857,0.27884615384615385,R,2002,269,0.5666666666666667,0.5222222222222223,0.136986301369863,0.08823529411764706,0.12025316455696203,0.054279749478079335,0.584,0.16666666666666666,0.09523809523809523,0.038461538461538464,0.06521739130434782,0,0,0,no
245,"Mats Christeen",0,EURO,0.42857142857142855,0.3173076923076923,D,2000,236,1,0.3888888888888889,0.0136986301369863,0.00980392156862745,0.012658227848101266,0.07933194154488518,0.552,0.13333333333333333,0.047619047619047616,0,0.021739130434782608,0.05,0,0,no
257,"Gabriel Karlsson Pears",0,EURO,0.42857142857142855,0.4230769230769231,C,1998,86,0.1,0.37777777777777777,0.1506849315068493,0.1568627450980392,0.17088607594936708,0.0709812108559499,0.552,0,0,0,0,0,0,0,no
273,"Viktor Wallin",0,EURO,0.5714285714285714,0.4423076923076923,D,1998,112,0.43333333333333335,0.3111111111111111,0.1232876712328767,0.14705882352941177,0.1518987341772152,0.08768267223382047,0.552,0,0,0,0,0,0,0,no
284,"Christian Soderstrom",0.2857142857142857,EURO,0.35714285714285715,0.2980769230769231,L,2002,262,0.5666666666666667,0.5333333333333333,0.1095890410958904,0.0784313725490196,0.10126582278481013,0.033402922755741124,0.44,0,0,0,0,0,0,0,no
301,"Jonas Johnson",1,EURO,0.5,0.23076923076923078,C,2002,221,0.5666666666666667,0.9444444444444444,0.3013698630136986,0.4215686274509804,0.41139240506329117,0.08350730688935282,0.744,0.3333333333333333,0.14285714285714285,0.07692307692307693,0.10869565217391304,0.03333333333333333,0,0,no
303,"Magnus Kahnberg",0.14285714285714285,EURO,0.5,0.38461538461538464,R,2000,212,1,0.43333333333333335,0.6164383561643836,0.20588235294117646,0.4177215189873418,0.06263048016701461,0.552,0.2,0.3333333333333333,0.15384615384615385,0.2391304347826087,0.03333333333333333,0,0,no
304,"Jens Karlsson",0.07142857142857142,EURO,0.5714285714285714,0.5288461538461539,R,2001,18,0.11904761904761904,0.5,0.1643835616438356,0.09803921568627451,0.14556962025316456,0.2359081419624217,0.52,0.23333333333333334,0.047619047619047616,0.19230769230769232,0.13043478260869565,0.675,0,0,no
306,"Pelle Prestberg",0.35714285714285715,EURO,0.21428571428571427,0.10576923076923077,R,1998,233,0.43333333333333335,0.5444444444444444,0.3972602739726027,0.14705882352941177,0.27848101265822783,0.04592901878914405,0.704,0.4,0.42857142857142855,0.07692307692307693,0.2391304347826087,0.06666666666666667,0,0,no
308,"Jari Tolsa",0,EURO,0.42857142857142855,0.3557692307692308,L,1999,120,0.3238095238095238,0.4888888888888889,0.2328767123287671,0.22549019607843138,0.25316455696202533,0.1315240083507307,0.52,0,0,0,0,0,0,0,no
321,"Gustav Grasberg",0,EURO,0.35714285714285715,0.40384615384615385,C,2001,240,0.2,0.6222222222222222,0.1780821917808219,0.11764705882352941,0.15822784810126583,0.17954070981210857,0.536,0.4,0.23809523809523808,0.15384615384615385,0.1956521739130435,0.21666666666666667,0,0,no
345,"Johan Eneqvist",0,EURO,0.35714285714285715,0.3557692307692308,C,2000,109,0.14761904761904762,0.6555555555555556,0.2191780821917808,0.23529411764705882,0.25316455696202533,0.12526096033402923,0.568,0.23333333333333334,0.047619047619047616,0.038461538461538464,0.043478260869565216,0.23333333333333334,0,0,no
355,"Daniel Widing",0,EURO,0.35714285714285715,0.46153846153846156,R,2000,36,0.09523809523809523,0.6777777777777778,0.2465753424657534,0.17647058823529413,0.22784810126582278,0.2150313152400835,0.56,0.23333333333333334,0.047619047619047616,0.038461538461538464,0.043478260869565216,0.18333333333333332,0,0,no
358,"Robin Jonsson",0.07142857142857142,EURO,0.5,0.5673076923076923,D,2002,120,0.28095238095238095,0.5888888888888889,0.0547945205479452,0.0392156862745098,0.05063291139240506,0.054279749478079335,0.48,0,0,0,0,0,0,0,no
359,"Calle Steen",0,EURO,0.35714285714285715,0.4423076923076923,C,1998,142,0.43333333333333335,0.23333333333333334,0.0136986301369863,0.029411764705882353,0.02531645569620253,0.04592901878914405,0.552,0,0,0,0,0,0,0,no
360,"David Nystrom",0.07142857142857142,EURO,0.35714285714285715,0.25,R,1999,224,0.42857142857142855,0.5444444444444444,0.2602739726027397,0.1568627450980392,0.22151898734177214,0.04592901878914405,0.552,0.06666666666666667,0,0,0,0,0,0,no
462,"Tim Eriksson",0,EURO,0.14285714285714285,0.0673076923076923,R,2000,206,0.29523809523809524,0.6555555555555556,0.2876712328767123,0.3431372549019608,0.35443037974683544,0.24634655532359082,0.616,0.2,0.047619047619047616,0.23076923076923078,0.15217391304347827,0.03333333333333333,0,0,no
463,"Andreas Holmqvist",0.14285714285714285,EURO,0.6428571428571429,0.5288461538461539,D,2001,61,0.1,0.4777777777777778,0.0684931506849315,0.14705882352941177,0.12658227848101267,0.0918580375782881,0.76,0,0,0,0,0,0,0,no
466,"Stefan Lundqvist",0.14285714285714285,EURO,0.5714285714285714,0.5096153846153846,R,1998,180,0.43333333333333335,0.5333333333333333,0.3424657534246575,0.16666666666666666,0.26582278481012656,0.0041753653444676405,0.528,0.03333333333333333,0,0,0,0,0,0,no
518,"Johan Bjork",0,EURO,0.42857142857142855,0.3173076923076923,D,2002,125,0.5666666666666667,0.7333333333333333,0.0273972602739726,0.0392156862745098,0.0379746835443038,0.20041753653444677,0.56,0.3333333333333333,0,0,0,0.08333333333333333,0,0,no
520,"Janos Vas",0,EURO,0.42857142857142855,0.40384615384615385,R,2002,32,0.2571428571428571,0.4666666666666667,0.2465753424657534,0.17647058823529413,0.22784810126582278,0.13778705636743216,0.568,0.3333333333333333,0.47619047619047616,0.15384615384615385,0.30434782608695654,0.05,0,0,no
521,"Mattias Wennerberg",0,EURO,0.35714285714285715,0.2980769230769231,L,1999,194,0.14761904761904762,0.6444444444444445,0.3013698630136986,0.16666666666666666,0.2468354430379747,0.17536534446764093,0.552,0,0,0,0,0,0,0,no
524,"Jonas Almtorp",0.07142857142857142,EURO,0.42857142857142855,0.27884615384615385,C,2002,111,0.21428571428571427,0.5222222222222223,0.3698630136986301,0.21568627450980393,0.310126582278481,0.22129436325678498,0.552,0.06666666666666667,0.047619047619047616,0.038461538461538464,0.043478260869565216,0.03333333333333333,0,0,no
526,"Fredrik Johansson",0,EURO,0.35714285714285715,0.25,C,2002,274,0.14761904761904762,0.8111111111111111,0.2465753424657534,0.27450980392156865,0.2911392405063291,0.1022964509394572,0.536,0.26666666666666666,0.14285714285714285,0.3076923076923077,0.2391304347826087,0.03333333333333333,0,0,no
532,"Patric Blomdahl",0,EURO,0.42857142857142855,0.49038461538461536,L,2002,272,0.5666666666666667,0.3333333333333333,0.0958904109589041,0.0784313725490196,0.0949367088607595,0.06263048016701461,0.552,0.23333333333333334,0,0.038461538461538464,0.021739130434782608,0.06666666666666667,0,0,no
539,"Pierre Johnsson",0,EURO,0.5,0.33653846153846156,D,2002,207,0.3476190476190476,0.4888888888888889,0.0136986301369863,0.08823529411764706,0.06329113924050633,0.10438413361169102,0.552,0.1,0,0.07692307692307693,0.043478260869565216,0.016666666666666666,0,0,no
547,"Marcus Paulsson",0,EURO,0.5,0.3557692307692308,L,2002,149,0.5666666666666667,0.5,0.0273972602739726,0.0392156862745098,0.0379746835443038,0.09812108559498957,0.488,0,0,0,0,0,0,0,no
578,"Mikael Svensk",0,EURO,0.5714285714285714,0.4423076923076923,D,2001,185,0.8333333333333334,0.2111111111111111,0.0136986301369863,0,0.006329113924050633,0.008350730688935281,0.552,0.1,0,0.038461538461538464,0.021739130434782608,0.016666666666666666,0,0,no
632,"Mattias Nilsson",0,EURO,0.6428571428571429,0.40384615384615385,D,2000,72,0.3333333333333333,0.6111111111111112,0.0821917808219178,0.058823529411764705,0.0759493670886076,0.19624217118997914,0.568,0.26666666666666666,0,0.038461538461538464,0.021739130434782608,0.08333333333333333,0,0,no
643,"Carl Aslund",0,EURO,0.5,0.5673076923076923,D,2001,234,0.3523809523809524,0.2222222222222222,0.0136986301369863,0.0392156862745098,0.03164556962025317,0.10438413361169102,0.568,0.13333333333333333,0.047619047619047616,0,0.021739130434782608,0.03333333333333333,0,0,no
663,"Jimmie Svensson",0,EURO,0.35714285714285715,0.3173076923076923,L,2000,228,1,0.37777777777777777,0.1506849315068493,0.049019607843137254,0.10126582278481013,0.29436325678496866,0.552,0,0,0,0,0,0,0,no
